id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1580963274660917248,1580939472912650240,2022-10-14 17:46:32 BST,2022-10-14,17:46:32,+0100,793898629144641537,dhcfry,Derek Fry,,@JakeBerry @trussliz @Conservatives Get a grip!,en,[],[],[],0,0,0,[],[],https://twitter.com/DhcFry/status/1580963274660917248,False,,0,,Swindon,,,,,,"[{'screen_name': 'JakeBerry', 'name': 'Jake Berry MP', 'id': '217148014'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580961838790869015,1580944593000202242,2022-10-14 17:40:49 BST,2022-10-14,17:40:49,+0100,458134033,riversstuart,Stuart Rivers,,@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives Time for change. Time for Swindon to go back to its Socialist roots. #GeneralElectionNow because of #Partygate where #JohnsonLiedPeopleDied. The #PPEFiasco saw #ToryCriminals committing #ToryCorruption.,en,[],[],[],0,0,0,"['generalelectionnow', 'partygate', 'johnsonliedpeopledied', 'ppefiasco', 'torycriminals', 'torycorruption']",[],https://twitter.com/RiversStuart/status/1580961838790869015,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580961200732372999,1580944593000202242,2022-10-14 17:38:17 BST,2022-10-14,17:38:17,+0100,182877481,amsnick1970,nick foss,,@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives 🤢🤮,und,[],[],[],0,0,0,[],[],https://twitter.com/amsnick1970/status/1580961200732372999,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580959855417753603,1580941594286784512,2022-10-14 17:32:57 BST,2022-10-14,17:32:57,+0100,1118900898246406146,chrisfelthamuk,Chris F 🇺🇦,,"@ranil @trussliz @Conservatives No. The PM has panicked because it’s clear this disaster is going to cost her her job, and she’s desperately trying anything to distract from her own pivotal role in it.  U-turning (again) and sacking Kwarteng isn’t going to fool anyone.  She needs to go.",en,[],[],[],0,0,4,[],[],https://twitter.com/chrisfelthamuk/status/1580959855417753603,False,,0,,Swindon,,,,,,"[{'screen_name': 'ranil', 'name': 'Ranil Jayawardena MP', 'id': '930829985241280512'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580958837661499395,1580936558735069185,2022-10-14 17:28:54 BST,2022-10-14,17:28:54,+0100,1118900898246406146,chrisfelthamuk,Chris F 🇺🇦,,"@nadhimzahawi @trussliz @Jeremy_Hunt Such utter, utter rubbish. Truss was as much the architect of this disaster as Kwarteng was. She can’t just sack him and think we’ll all just forget about it.  She has to go.   Anyone who tries to defend this fiasco is either complicit, or stupid.",en,[],[],[],0,0,1,[],[],https://twitter.com/chrisfelthamuk/status/1580958837661499395,False,,0,,Swindon,,,,,,"[{'screen_name': 'nadhimzahawi', 'name': 'Nadhim Zahawi', 'id': '121127090'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}]",,,,
1580958534581092356,1580944593000202242,2022-10-14 17:27:42 BST,2022-10-14,17:27:42,+0100,374709481,nyc2sn1,Peter Norris,,@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives She is clearly not acting in the national interest. She’s over her head. Time to go.,en,[],[],[],0,0,0,[],[],https://twitter.com/NYC2SN1/status/1580958534581092356,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580958382134992896,1580944593000202242,2022-10-14 17:27:05 BST,2022-10-14,17:27:05,+0100,374709481,nyc2sn1,Peter Norris,,@jimrobbins @RobertBuckland @trussliz @Jeremy_Hunt @Conservatives Classic 😂👏👏,en,[],[],[],0,0,1,[],[],https://twitter.com/NYC2SN1/status/1580958382134992896,False,,0,,Swindon,,,,,,"[{'screen_name': 'jimrobbins', 'name': 'Jim Robbins', 'id': '8641742'}, {'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580958042790559747,1580958042790559747,2022-10-14 17:25:44 BST,2022-10-14,17:25:44,+0100,424932238,jonnyhusband1,Jonathan Husband,,@trussliz Mention that energy price cap one more time.  https://t.co/YCXXwlk8G8,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FfCw9KgXgAA4EsJ.jpg'],0,0,0,[],[],https://twitter.com/jonnyhusband1/status/1580958042790559747,False,,1,https://pbs.twimg.com/tweet_video_thumb/FfCw9KgXgAA4EsJ.jpg,Swindon,,,,,,[],,,,
1580957994732335104,1580944593000202242,2022-10-14 17:25:33 BST,2022-10-14,17:25:33,+0100,203131369,earskirby,Rich K,,@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives Still doing as you're told rather than what you should to benefit country and constituents.  Truss is a lame duck. Time for a GE.  #TrussOut #GeneralElection,en,[],[],[],0,0,0,"['trussout', 'generalelection']",[],https://twitter.com/earskirby/status/1580957994732335104,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580957759029141504,1580944593000202242,2022-10-14 17:24:37 BST,2022-10-14,17:24:37,+0100,793898629144641537,dhcfry,Derek Fry,,"@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives I've noticed several Tory MPs have posted this Tweet. Have you all been instructed to do so? If you haven't, surely you can no longer believe this drivel. Liz Truss is a political liability and she is taking the country down with her and her party.",en,[],[],[],0,0,7,[],[],https://twitter.com/DhcFry/status/1580957759029141504,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
